lambda_m,alpha_max,f_eq_hz,E_eq_eV,m_phi_eV_from_range,theta_max_r1_fN_0p30,theta_needed_r0p1_fN_0p30,theta_max_r1_fN_2over9,theta_needed_r0p1_fN_2over9,note_alpha_pred_model
2.99528567943e-05,439300.9090504425,1592951614600.2224,0.0065879185352648445,0.0065879185352648445,1.5782686863487147e-13,4.9909238085838357e-14,2.1306627265707651e-13,6.737747141588178e-14,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
4.20901375996e-05,212179.1632826823,1133601701335.9172,0.004688199937392881,0.004688199937392882,1.096860141928839e-13,3.468576323150685e-14,1.4807611916039325e-13,4.6825780362534254e-14,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
4.95389180333e-05,293677.66862456617,963150861718.3867,0.003983271906073111,0.003983271906073111,1.2904326739479037e-13,4.0807064167768024e-14,1.74208410982967e-13,5.508953662648683e-14,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
5.60406803019e-05,42890.16438057917,851407430019.2205,0.003521138205251451,0.003521138205251451,4.931496671789605e-14,1.5594761756394982e-14,6.657520506915967e-14,2.1052928371133228e-14,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
7.06864164176e-05,5002.557931158214,675001704860.6442,0.0027915827461606983,0.0027915827461606987,1.684208877896273e-14,5.325936109628638e-15,2.2736819851599683e-14,7.190013747998661e-15,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
7.59307120156e-05,30509.85833809346,628381458909.0995,0.00259877690095625,0.0025987769009562503,4.1592974955566334e-14,1.315285355219303e-14,5.615051619001455e-14,1.775635229546059e-14,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
8.5163745616e-05,1688.6186010236213,560255437889.1167,0.0023170303165039514,0.0023170303165039514,9.785109128066445e-15,3.094323199799421e-15,1.3209897322889701e-14,4.177336319729218e-15,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
8.92784800926e-05,10913.11356590286,534433959257.3803,0.0022102412614398693,0.0022102412614398693,2.487563789486417e-14,7.866367399736694e-15,3.358211115806663e-14,1.0619595989644536e-14,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0001084451467412,1618.342172667529,439977749361.4875,0.0018196017653995657,0.001819601765399566,9.579328460741215e-15,3.0292496390817092e-15,1.293209342200064e-14,4.089487012760307e-15,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0001163783787878,373.4211164844035,409985532444.7195,0.001695563922737755,0.0016955639227377549,4.601498931880583e-15,1.4551217275574627e-15,6.212023558038787e-15,1.964414332202575e-15,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0001298172202008,14.271146324035708,367543316045.1805,0.0015200370193883294,0.0015200370193883296,8.995583072167844e-16,2.844653138930521e-16,1.2144037147426589e-15,3.840281737556203e-16,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0001540141337326,1.991148839134069,309799175153.68896,0.001281226441216768,0.001281226441216768,3.3600965093522386e-16,1.0625558127534336e-16,4.536130287625523e-16,1.4344503472171356e-16,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0001584536280299,65.3331290835831,301119338102.9177,0.0012453295195113305,0.0012453295195113308,1.924715831041359e-15,6.086485874674506e-16,2.5983663719058346e-15,8.216755930810584e-16,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
