lambda_m,alpha_max
2.075598028076174e-06,708758.5955207881
2.1144619593899316e-06,708758.5955207881
2.15405358707685e-06,708758.5955207881
2.194386536675912e-06,684775.4354527228
2.2354746888535544e-06,661603.8238730788
2.2773321841807133e-06,661603.8238730788
2.3199734279993173e-06,661603.8238730788
2.363413095379942e-06,661603.8238730788
2.4076661361722516e-06,661603.8238730788
2.4527477801500065e-06,617586.3298586851
2.4986735422524525e-06,617586.3298586851
2.5454592279237826e-06,617586.3298586851
2.593120938552644e-06,576497.3856945108
2.641675077013451e-06,576497.3856945108
2.6911383533114515e-06,576497.3856945108
2.741527790333546e-06,538142.1505697062
2.7928607297067047e-06,538142.1505697062
2.8451548377661627e-06,502338.74672459916
2.8984281116353095e-06,468917.39699946623
2.952698885419416e-06,468917.39699946623
3.0079858365153976e-06,437719.6197634799
3.064307992039628e-06,437719.6197634799
3.121684735376203e-06,408597.4774062467
3.180135812847755e-06,381412.87482832157
3.239681340511169e-06,381412.87482832157
3.300341811080603e-06,356036.9046041998
3.362138100980078e-06,356036.9046041998
3.4250914775281233e-06,332349.2357126055
3.4892236062570104e-06,332349.2357126055
3.55455655836894e-06,310237.54293545743
3.6211128183319353e-06,310237.54293545743
3.6889152916179004e-06,310237.54293545743
3.75798731258556e-06,310237.54293545743
3.828352652511078e-06,310237.54293545743
3.900035527768933e-06,310237.54293545743
3.973060608166083e-06,310237.54293545743
4.047453025432108e-06,310237.54293545743
4.123238381868322e-06,310237.54293545743
4.200442759158913e-06,310237.54293545743
4.27909272734694e-06,205254.34471508712
4.359215353978531e-06,205254.34471508712
4.4408382134182025e-06,205254.34471508712
4.523989396338609e-06,191598.46552588546
4.608697519388059e-06,191598.46552588546
4.694991735038968e-06,178851.13244657975
4.782901741620704e-06,178851.13244657975
4.872457793540406e-06,155844.3385051167
4.9636907116950146e-06,145475.78108480485
5.056631894078415e-06,145475.78108480485
5.151313326587095e-06,135797.05933006472
5.247767594028122e-06,135797.05933006472
5.346027891333344e-06,126762.2774401401
5.446128034983408e-06,126762.2774401401
5.5481024746458446e-06,118328.59313068766
5.6519863050309625e-06,110456.01447875281
5.757815277969726e-06,110456.01447875281
5.865625814717902e-06,103107.21028395592
5.975455018490414e-06,103107.21028395592
6.087340687230575e-06,96247.33304662982
6.201321326618289e-06,89843.85372349017
6.317436163321821e-06,89843.85372349017
6.435725158497807e-06,83866.4074772568
6.5562290215439384e-06,83866.4074772568
6.678989224109134e-06,83866.4074772568
6.80404801436619e-06,83866.4074772568
6.9314484315514645e-06,78286.64968878469
7.061234320777018e-06,78286.64968878469
7.193450348119952e-06,78286.64968878469
7.328142015994289e-06,78286.64968878469
7.465355678810818e-06,73078.12154892302
7.6051385589299496e-06,73078.12154892302
7.747538762913482e-06,73078.12154892302
7.892605298080537e-06,68216.12459275089
8.04038808937347e-06,59441.037174954654
8.19093799653976e-06,59441.037174954654
8.344306831635364e-06,51794.74679231212
8.500547376856049e-06,48348.76465822912
8.659713402702452e-06,45132.048880366354
8.82185968648525e-06,45132.048880366354
8.987042031176991e-06,34267.602534331585
9.155317284616738e-06,29859.536118477088
9.326743359074325e-06,26018.508190568024
9.501379251181084e-06,24287.457844097407
9.679285062233607e-06,21163.20288223407
9.860522018877664e-06,21163.20288223407
1.0045152494179618e-05,17213.944510352827
1.0233240029092085e-05,14999.601951533683
1.0424849354321837e-05,14001.655952287821
1.0620046412606848e-05,13070.104796093687
1.0818898381410764e-05,11388.811511988424
1.1021473696042105e-05,10631.096812539887
1.1227842073206343e-05,10631.096812539887
1.1438074534999181e-05,9263.54911858887
1.165224343334889e-05,9263.54911858887
1.1870422474916297e-05,8647.23131151745
1.209268674646125e-05,8071.9180518879
1.2319112740683678e-05,8071.9180518879
1.2549778382548896e-05,6565.620062828875
1.2784763056105554e-05,5721.041301614964
1.302414763180574e-05,4985.106244585521
1.32680144943369e-05,4343.839339665392
1.351644757097448e-05,3785.0628016842766
1.376953236046585e-05,3533.236900434341
1.4027355962454806e-05,3298.165353831348
1.4290007107456988e-05,3078.7334695491886
1.4557576187396875e-05,2036.9018361397743
1.4830155286716114e-05,1774.8817964452978
1.5107838214064776e-05,1546.5671125924177
1.53907205345857e-05,1347.6220436441713
1.567889960280335e-05,1174.2685834509273
1.5972474596128777e-05,1023.2147155674901
1.627154654899147e-05,891.591897210636
1.6576218387610796e-05,776.900585065158
1.6886594965418177e-05,676.9627684626569
1.720278309914249e-05,631.9234208447253
1.7524891605571468e-05,550.63496753006
1.7853031339001137e-05,479.80318099545667
1.818731522938641e-05,418.08295162582715
1.8527858321206404e-05,364.3022000761159
1.88747778130571e-05,317.4396192530611
1.922819309798537e-05,296.31988560550656
1.958822580457861e-05,258.20231567108107
1.9954999838823157e-05,224.9880587044531
2.0328641426747046e-05,196.04636940623664
2.0709279157860854e-05,183.00311061525045
2.109704402941189e-05,159.4622204963168
2.1492069491467492e-05,138.94954943731386
2.1894491492841764e-05,129.70502765560033
2.230444852788296e-05,113.02021943759574
2.272208168413646e-05,113.02021943759574
2.3147534690900192e-05,91.92955323316828
2.3580953968689685e-05,80.10405199404164
