lambda_m,m_c_eV,alpha_max,theta_max_rad,kappa_vc_max_GeV
2.075598028076174e-06,0.09506994019593382,708758.5955207881,2.0046984677682674e-13,1.2733094942633812e-11
2.1144619593899316e-06,0.09332254927723227,708758.5955207881,2.0046984677682674e-13,1.2733094942633812e-11
2.15405358707685e-06,0.09160727550319757,708758.5955207881,2.0046984677682674e-13,1.2733094942633812e-11
2.194386536675912e-06,0.08992352855888085,684775.4354527228,1.9704888210711622e-13,1.251580806066541e-11
2.2354746888535544e-06,0.08827072897935498,661603.8238730788,1.936862952905321e-13,1.230222912160392e-11
2.2773321841807133e-06,0.08664830795029133,661603.8238730788,1.936862952905321e-13,1.230222912160392e-11
2.3199734279993173e-06,0.08505570711220149,661603.8238730788,1.936862952905321e-13,1.230222912160392e-11
2.363413095379942e-06,0.08349237836827579,661603.8238730788,1.936862952905321e-13,1.230222912160392e-11
2.4076661361722516e-06,0.08195778369575517,661603.8238730788,1.936862952905321e-13,1.230222912160392e-11
2.4527477801500065e-06,0.08045139496076999,617586.3298586851,1.8713228740646524e-13,1.1885943051731786e-11
2.4986735422524525e-06,0.07897269373658063,617586.3298586851,1.8713228740646524e-13,1.1885943051731786e-11
2.5454592279237826e-06,0.0775211711251611,617586.3298586851,1.8713228740646524e-13,1.1885943051731786e-11
2.593120938552644e-06,0.07609632758205967,576497.3856945108,1.808000557677441e-13,1.1483743379556916e-11
2.641675077013451e-06,0.07469767274448008,576497.3856945108,1.808000557677441e-13,1.1483743379556916e-11
2.6911383533114515e-06,0.07332472526252273,576497.3856945108,1.808000557677441e-13,1.1483743379556916e-11
2.741527790333546e-06,0.0719770126335259,538142.1505697062,1.7468209585135424e-13,1.1095153445843131e-11
2.7928607297067047e-06,0.07065407103945441,538142.1505697062,1.7468209585135424e-13,1.1095153445843131e-11
2.8451548377661627e-06,0.06935544518727452,502338.74672459916,1.6877115707430874e-13,1.0719712720675097e-11
2.8984281116353095e-06,0.06808068815226437,468917.39699946623,1.6306023420075764e-13,1.0356976257670074e-11
2.952698885419416e-06,0.06682936122420444,468917.39699946623,1.6306023420075764e-13,1.0356976257670074e-11
3.0079858365153976e-06,0.06560103375639345,437719.6197634799,1.5754255903986674e-13,1.0006514166658201e-11
3.064307992039628e-06,0.0643952830174416,437719.6197634799,1.5754255903986674e-13,1.0006514166658201e-11
3.121684735376203e-06,0.0632116940457857,408597.4774062467,1.522115924246267e-13,9.667911104206472e-12
3.180135812847755e-06,0.06204985950687973,381412.87482832157,1.470610164620841e-13,9.340765781382374e-12
3.239681340511169e-06,0.060909379553010304,381412.87482832157,1.470610164620841e-13,9.340765781382374e-12
3.300341811080603e-06,0.05978986168568731,356036.9046041998,1.4208472704581118e-13,9.024690488173983e-12
3.362138100980078e-06,0.05869092062056533,356036.9046041998,1.4208472704581118e-13,9.024690488173983e-12
3.4250914775281233e-06,0.057612178154847475,332349.2357126055,1.3727682662174217e-13,8.719310634002932e-12
3.4892236062570104e-06,0.056553263037125406,332349.2357126055,1.3727682662174217e-13,8.719310634002932e-12
3.55455655836894e-06,0.05551381083961324,310237.54293545743,1.326316171987988e-13,8.424264303785493e-12
3.6211128183319353e-06,0.05449346383272825,310237.54293545743,1.326316171987988e-13,8.424264303785493e-12
3.6889152916179004e-06,0.053491870861977826,310237.54293545743,1.326316171987988e-13,8.424264303785493e-12
3.75798731258556e-06,0.052508687227109246,310237.54293545743,1.326316171987988e-13,8.424264303785493e-12
3.828352652511078e-06,0.05154357456347969,310237.54293545743,1.326316171987988e-13,8.424264303785493e-12
3.900035527768933e-06,0.050596200725608144,310237.54293545743,1.326316171987988e-13,8.424264303785493e-12
3.973060608166083e-06,0.04966623967286614,310237.54293545743,1.326316171987988e-13,8.424264303785493e-12
4.047453025432108e-06,0.04875337135727061,310237.54293545743,1.326316171987988e-13,8.424264303785493e-12
4.123238381868322e-06,0.04785728161333888,310237.54293545743,1.326316171987988e-13,8.424264303785493e-12
4.200442759158913e-06,0.0469776620499674,310237.54293545743,1.326316171987988e-13,8.424264303785493e-12
4.27909272734694e-06,0.046114209944299045,205254.34471508712,1.0788127446886105e-13,6.85221509583721e-12
4.359215353978531e-06,0.04526662813753978,205254.34471508712,1.0788127446886105e-13,6.85221509583721e-12
4.4408382134182025e-06,0.04443462493269113,205254.34471508712,1.0788127446886105e-13,6.85221509583721e-12
4.523989396338609e-06,0.04361791399416237,191598.46552588546,1.0423075948352613e-13,6.620348036301202e-12
4.608697519388059e-06,0.042816214249226964,191598.46552588546,1.0423075948352613e-13,6.620348036301202e-12
4.694991735038968e-06,0.0420292497912911,178851.13244657975,1.0070377158594368e-13,6.396326955408008e-12
4.782901741620704e-06,0.04125674978494018,178851.13244657975,1.0070377158594368e-13,6.396326955408008e-12
4.872457793540406e-06,0.040498448372729576,155844.3385051167,9.400379872747135e-14,5.97076973624691e-12
4.9636907116950146e-06,0.03975408458369,145475.78108480485,9.082287342210629e-14,5.76872925699354e-12
5.056631894078415e-06,0.0390234022435132,145475.78108480485,9.082287342210629e-14,5.76872925699354e-12
5.151313326587095e-06,0.038306149886389314,135797.05933006472,8.77495851051957e-14,5.573525476701962e-12
5.247767594028122e-06,0.037602080668464634,135797.05933006472,8.77495851051957e-14,5.573525476701962e-12
5.346027891333344e-06,0.03691095228288924,126762.2774401401,8.47802915279688e-14,5.384927053351677e-12
5.446128034983408e-06,0.0362325268764272,126762.2774401401,8.47802915279688e-14,5.384927053351677e-12
5.5481024746458446e-06,0.035566570967598445,118328.59313068766,8.191147368902829e-14,5.202710473134419e-12
5.6519863050309625e-06,0.034912855366325775,110456.01447875281,7.913973166387291e-14,5.0266597855610335e-12
5.757815277969726e-06,0.034271155095058875,110456.01447875281,7.913973166387291e-14,5.0266597855610335e-12
5.865625814717902e-06,0.033641249311347377,103107.21028395592,7.646178057554261e-14,4.856566347531923e-12
5.975455018490414e-06,0.03302292123183799,103107.21028395592,7.646178057554261e-14,4.856566347531923e-12
6.087340687230575e-06,0.032415958057667636,96247.33304662982,7.387444670160904e-14,4.692228576067648e-12
6.201321326618289e-06,0.03182015090122843,89843.85372349017,7.137466371289962e-14,4.533451709406734e-12
6.317436163321821e-06,0.03123529471427883,89843.85372349017,7.137466371289962e-14,4.533451709406734e-12
6.435725158497807e-06,0.03066118821737549,83866.4074772568,6.895946903949606e-14,4.380047576187504e-12
6.5562290215439384e-06,0.030097633830602686,83866.4074772568,6.895946903949606e-14,4.380047576187504e-12
6.678989224109134e-06,0.02954443760557499,83866.4074772568,6.895946903949606e-14,4.380047576187504e-12
6.80404801436619e-06,0.0290014091586891,83866.4074772568,6.895946903949606e-14,4.380047576187504e-12
6.9314484315514645e-06,0.028468361605603454,78286.64968878469,6.662600035970144e-14,4.231834372440386e-12
7.061234320777018e-06,0.027945111496921145,78286.64968878469,6.662600035970144e-14,4.231834372440386e-12
7.193450348119952e-06,0.02743147875505563,78286.64968878469,6.662600035970144e-14,4.231834372440386e-12
7.328142015994289e-06,0.02692728661225686,78286.64968878469,6.662600035970144e-14,4.231834372440386e-12
7.465355678810818e-06,0.02643236154977587,73078.12154892302,6.43714922078143e-14,4.088636446126417e-12
7.6051385589299496e-06,0.025946533238148408,73078.12154892302,6.43714922078143e-14,4.088636446126417e-12
7.747538762913482e-06,0.025469634478575316,73078.12154892302,6.43714922078143e-14,4.088636446126417e-12
7.892605298080537e-06,0.025001501145380915,68216.12459275089,6.219327269669037e-14,3.950284088966614e-12
8.04038808937347e-06,0.02454197212952892,59441.037174954654,5.805546104887363e-14,3.687465767840042e-12
8.19093799653976e-06,0.024090889283176146,59441.037174954654,5.805546104887363e-14,3.687465767840042e-12
8.344306831635364e-06,0.023648097365245944,51794.74679231212,5.4192944211740214e-14,3.4421331435302474e-12
8.500547376856049e-06,0.023213443988001386,48348.76465822912,5.2359149089107695e-14,3.3256573354362105e-12
8.659713402702452e-06,0.022786779564600814,45132.048880366354,5.0587406408923294e-14,3.2131228664204326e-12
8.82185968648525e-06,0.022367957257617387,45132.048880366354,5.0587406408923294e-14,3.2131228664204326e-12
8.987042031176991e-06,0.021956832928504397,34267.602534331585,4.40800166073476e-14,2.7997978028040904e-12
9.155317284616738e-06,0.02155326508798985,29859.536118477088,4.1147307035311496e-14,2.613523058645293e-12
9.326743359074325e-06,0.021157114847382766,26018.508190568024,3.840971502664938e-14,2.439641452404051e-12
9.501379251181084e-06,0.020768245870774072,24287.457844097407,3.710999697105948e-14,2.357088222247172e-12
9.679285062233607e-06,0.020386524328116492,21163.20288223407,3.4641013252094315e-14,2.2002676100161532e-12
9.860522018877664e-06,0.02001181884916677,21163.20288223407,3.4641013252094315e-14,2.2002676100161532e-12
1.0045152494179618e-05,0.019644000478274033,17213.944510352827,3.124209066115667e-14,1.984380758457614e-12
1.0233240029092085e-05,0.019282942629999786,14999.601951533683,2.916350754380999e-14,1.8523569324066308e-12
1.0424849354321837e-05,0.018928521045552954,14001.655952287821,2.8176665092812316e-14,1.7896763905495627e-12
1.0620046412606848e-05,0.018580613750026276,13070.104796093687,2.7223215676641726e-14,1.729116849380191e-12
1.0818898381410764e-05,0.01823910101041812,11388.811511988424,2.5412014335506487e-14,1.614076113789792e-12
1.1021473696042105e-05,0.017903865294426245,10631.096812539887,2.4552115899971353e-14,1.5594585810449284e-12
1.1227842073206343e-05,0.017574791229998943,10631.096812539887,2.4552115899971353e-14,1.5594585810449284e-12
1.1438074534999181e-05,0.01725176556562928,9263.54911858887,2.2918626830423588e-14,1.4557054643307666e-12
1.165224343334889e-05,0.016934677131379465,9263.54911858887,2.2918626830423588e-14,1.4557054643307666e-12
1.1870422474916297e-05,0.016623416800621616,8647.23131151745,2.214310029813453e-14,1.4064469193428946e-12
1.209268674646125e-05,0.016317877452481346,8071.9180518879,2.139381623694701e-14,1.3588551979768172e-12
1.2319112740683678e-05,0.016017953934972178,8071.9180518879,2.139381623694701e-14,1.3588551979768172e-12
1.2549778382548896e-05,0.015723543028807043,6565.620062828875,1.9294688108536072e-14,1.225526429658033e-12
1.2784763056105554e-05,0.015434543411875244,5721.041301614964,1.8010983589787713e-14,1.143990319473305e-12
1.302414763180574e-05,0.015150855624372366,4985.106244585521,1.6812685856688598e-14,1.0678789289055259e-12
1.32680144943369e-05,0.014872382034570716,4343.839339665392,1.569411266778177e-14,9.96831343228009e-13
1.351644757097448e-05,0.014599026805219469,3785.0628016842766,1.464995982965092e-14,9.305106599117709e-13
1.376953236046585e-05,0.014330695860561822,3533.236900434341,1.4154230629602102e-14,8.990237950712717e-13
1.4027355962454806e-05,0.014067296853958751,3298.165353831348,1.3675276044817679e-14,8.686023910580335e-13
1.4290007107456988e-05,0.013808739136107804,3078.7334695491886,1.3212528451447264e-14,8.392103945279004e-13
1.4557576187396875e-05,0.013554933723845768,2036.9018361397743,1.0746942836124351e-14,6.82605617131882e-13
1.4830155286716114e-05,0.013305793269525145,1774.8817964452978,1.0031932621714106e-14,6.371908423344834e-13
1.5107838214064776e-05,0.013061232030953092,1546.5671125924177,9.364493108526212e-15,5.947975805720409e-13
1.53907205345857e-05,0.012821165841883166,1347.6220436441713,8.741459346509363e-15,5.552248060536942e-13
1.567889960280335e-05,0.012585512083049399,1174.2685834509273,8.159876954482776e-15,5.182848675357454e-13
1.5972474596128777e-05,0.012354189653732542,1023.2147155674901,7.616988110673687e-15,4.838025984929933e-13
1.627154654899147e-05,0.01212711894384929,891.591897210636,7.110218475325262e-15,4.51614486491696e-13
1.6576218387610796e-05,0.011904221806554132,776.900585065158,6.637164983363134e-15,4.215678978254023e-13
1.6886594965418177e-05,0.011685421531345021,676.9627684626569,6.19558444923404e-15,3.935203537369182e-13
1.720278309914249e-05,0.011470642817663393,631.9234208447253,5.98593663049822e-15,3.802043083395719e-13
1.7524891605571468e-05,0.011259811748979167,550.63496753006,5.587683294746585e-15,3.549087458553471e-13
1.7853031339001137e-05,0.011052855767352297,479.80318099545667,5.215926350324787e-15,3.3129613505619833e-13
1.818731522938641e-05,0.010849703648461877,418.08295162582715,4.868902952604851e-15,3.0925450664410895e-13
1.8527858321206404e-05,0.010650285477094013,364.3022000761159,4.544967541654052e-15,2.886793408062787e-13
1.88747778130571e-05,0.010454532623080423,317.4396192530611,4.242584039108356e-15,2.694730715897076e-13
1.922819309798537e-05,0.010262377717679301,296.31988560550656,4.0990223627418214e-15,2.603545708042315e-13
1.958822580457861e-05,0.010073754630390067,258.20231567108107,3.826308261331996e-15,2.4303279098907495e-13
1.9954999838823157e-05,0.009888598446194592,224.9880587044531,3.571738237832986e-15,2.2686345514691222e-13
2.0328641426747046e-05,0.009706845443216414,196.04636940623664,3.3341051395470354e-15,2.117698894529367e-13
2.0709279157860854e-05,0.0095284330707908,183.00311061525045,3.2212848115102936e-15,2.0460396414572495e-13
2.109704402941189e-05,0.009353299927937856,159.4622204963168,3.006967904937349e-15,1.9099135575059382e-13
2.1492069491467492e-05,0.009181385742231117,138.94954943731386,2.806909823376981e-15,1.782844145945745e-13
2.1894491492841764e-05,0.009012631349054832,129.70502765560033,2.711928869331253e-15,1.7225157960691393e-13
2.230444852788296e-05,0.008846978671242197,113.02021943759574,2.531500177014402e-15,1.6079142384491882e-13
2.272208168413646e-05,0.008684370699088053,113.02021943759574,2.531500177014402e-15,1.6079142384491882e-13
2.3147534690900192e-05,0.008524751470728915,91.92955323316828,2.2831132987784824e-15,1.450148182659097e-13
2.3580953968689685e-05,0.008368066052883476,80.10405199404164,2.1312143490794823e-15,1.3536676505840206e-13
2.4022488679628628e-05,0.008214260521947327,69.79974252228799,1.989421464170171e-15,1.2636061129129642e-13
2.4472290778783615e-05,0.008063281945434944,65.15586103639374,1.922102896579496e-15,1.2208478763843343e-13
2.4930515066459688e-05,0.007915078363762897,56.774435386821025,1.7942225100213522e-15,1.139623037361123e-13
2.5397319241474995e-05,0.007769598772367909,52.997147106985764,1.7335091360636801e-15,1.1010601728046749e-13
2.587286395543353e-05,0.00762679310415342,46.17977655810208,1.6181761750570693e-15,1.027804989238484e-13
2.635731286801328e-05,0.007486612212259018,46.17977655810208,1.6181761750570693e-15,1.027804989238484e-13
2.6850832703290414e-05,0.007349007853146346,37.56218355015583,1.4594032339339924e-15,9.269583548869361e-14
2.7353593307117558e-05,0.007213932669996027,35.06311518034586,1.4100195628441588e-15,8.95591693879674e-14
2.786576770557641e-05,0.0070813401764097655,30.552716756444763,1.3162088479901658e-15,8.360066361726155e-14
2.838753216452541e-05,0.006951184740411864,28.519998718212467,1.2716706262545167e-15,8.077176233832042e-14
2.8919066250261552e-05,0.006823421568744991,24.851284269805557,1.18706447350928e-15,7.539789592919716e-14
2.946055289131888e-05,0.006698006691454395,23.197891080219023,1.1468962731386482e-15,7.28465620641926e-14
3.001217844142355e-05,0.006574896946755602,20.213794235774902,1.0705915451180696e-15,6.799997110760097e-14
3.057413274362764e-05,0.006454049966180235,18.86894020882467,1.0343645863815527e-15,6.569897017159253e-14
3.114660919564448e-05,0.0063354241599947285,17.613561335955243,9.993634850182616e-16,6.347583111142414e-14
3.172980481640635e-05,0.006218978702887238,16.441704701060253,9.655467601434669e-16,6.132791921642956e-14
3.232392031386938e-05,0.006104673519917446,15.347813444464123,9.328743345135435e-16,5.925268892997609e-14
3.2929160154087376e-05,0.005992469272724727,14.326700412694024,9.013074870291915e-16,5.724768083264682e-14
3.354573263157932e-05,0.005882327345989757,14.326700412694024,9.013074870291915e-16,5.724768083264682e-14
3.417384994101413e-05,0.005774209834145021,12.483762994590869,8.413421490370604e-16,5.343890682400027e-14
3.48137282502383e-05,0.0056680795283294404,12.483762994590869,8.413421490370604e-16,5.343890682400027e-14
3.546558777466999e-05,0.005563899903582978,10.154172062948112,7.587909598943135e-16,4.819556401767743e-14
3.6129652853087115e-05,0.005461635106276404,8.847974326860614,7.083074600563027e-16,4.4989040908047686e-14
3.680615202483374e-05,0.005361249941772237,7.709801370655077,6.611827031272089e-16,4.199585258684e-14
3.749531810847215e-05,0.005262709862312477,6.718039065111661,6.17193226907214e-16,3.9201805570834225e-14
3.819738828190838e-05,0.005165980955128834,6.271077857109719,5.963084799039485e-16,3.787528454674469e-14
3.891260416401682e-05,0.0050710299307716806,5.464387991209716,5.566351829885129e-16,3.5355385098355744e-14
3.9641211897794405e-05,0.004977824111653334,5.100834068127303,5.377996150285643e-16,3.4159020263501286e-14
4.0383462235071e-05,0.00488633142080204,4.761467932442329,5.196014099792181e-16,3.300313833709465e-14
4.113961062280591e-05,0.00479652037082264,3.1502053913528876,4.226387607138587e-16,2.6844433480300984e-14
4.1909917291001e-05,0.0047083600530600555,2.940617505136881,4.083373989903776e-16,2.5936064468392886e-14
4.269464734225877e-05,0.004621820126962088,2.562346593033208,3.8117009981926543e-16,2.4210499226325295e-14
4.349407084301851e-05,0.004536870809637588,2.232735148777283,3.558102817803675e-16,2.2599738426090416e-14
4.430846291649997e-05,0.0044534828656066444,1.9455237859466732,3.3213769044490486e-16,2.1096143956104223e-14
4.5138103837387304e-05,0.0043716275967391575,1.6952583040389262,3.1004007209148137e-16,1.9692585879794294e-14
4.59832791282868e-05,0.004291276832378261,1.5824702282172851,2.995488544562006e-16,1.902622297104933e-14
4.684427965798932e-05,0.004212402919645404,1.3789067060798474,2.7961942020526777e-16,1.7760379840273614e-14
4.772140174157407e-05,0.004134978713923487,1.2015288946155827,2.610159210852953e-16,1.6578755150234713e-14
4.861494724238572e-05,0.004058977569515026,1.1215893764047442,2.5218359558650914e-16,1.601775886601303e-14
4.9525223675921004e-05,0.003984373330471997,0.9773119803553492,2.354054429992488e-16,1.4952073361232776e-14
